,old_index,postcode,consumption,generation,supply_area_id,supply_area_name,tennet_id,RNB_postcode
163,107681,5627TE,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
164,107682,5627TS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
165,107683,5627VD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
166,107684,5627VT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
167,107685,5627WG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
168,107686,5629CJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
169,107687,5629CT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
170,107688,5629GJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
171,107689,5629GT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
172,107690,5629HD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
173,107691,5629HR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
174,107706,5611AK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
175,107707,5611AV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
176,107709,5611DC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
177,107710,5611DM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
178,107711,5611EJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
179,107712,5611ET,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
180,107713,5611GN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
181,107715,5612BM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
182,107716,5612BX,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
183,107717,5612CW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
184,107718,5612ED,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
185,107719,5612ER,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
186,107720,5612GD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
187,107721,5612HA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
188,107722,5612HK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
189,107723,5612HV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
190,107724,5612JK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
191,107725,5612KK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
192,107726,5612KV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
193,107727,5612LE,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
194,107728,5612LP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
195,107729,5612NB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
196,107730,5612NM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
197,107731,5612PB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
198,107732,5612PN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
199,107733,5612PZ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
200,107734,5612RJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
201,107735,5612RT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
202,107736,5612SH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
203,107741,5621AH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
204,107742,5621AS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
205,107743,5621BH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
206,107744,5621BT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
207,107745,5621CD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
208,107746,5621CR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
209,107748,5621EC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
210,107749,5621EM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
211,107750,5621GB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
212,107751,5621GL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
213,107752,5621GW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
214,107753,5621HK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
215,107754,5621HV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
216,107755,5622AB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
217,107756,5622AL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
218,107757,5622AW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
219,107758,5622BG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
