car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 65,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",373.0,4,
Car 39,,,,59,,arrived,,arrived,376.0,,
Car 39,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",377.0,4,
Car 12,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",377.1514504379504,1,
Car 65,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",378.79050609035977,0,
Car 39,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",382.79050609035977,2,
Car 65,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",382.9419565283102,2,
Car 12,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",383.56048888171506,5,
Car 39,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),386.19965637585574,,
Car 12,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 3 (fid=12)",386.51603168616174,3,
Car 65,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",389.70719294237875,5,
Car 12,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",395.61685216313754,2,
Car 65,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",396.1885874765474,1,
Car 65,,,,,,gave_up,1,"no alternate charger available, gave up",399.1441302809941,,
Car 12,,,,,,gave_up,2,"no alternate charger available, gave up",404.21308803418697,,
Car 41,76.0,47,5,,,done,,done charging,408.4247947095303,,468.9874541495043
Car 53,116.0,33,1,,,done,,done charging,420.0446239789971,,715.1739385162304
Car 68,,,,76,,arrived,,arrived,435.0,,
Car 68,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",436.0,4,
Car 15,102.0,115,0,,,done,,done charging,440.1780661340934,,273.08169915644055
Car 68,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",441.79050609035977,0,
Car 68,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),444.9419565283102,,
Car 66,,,,3,,arrived,,arrived,445.0,,
Car 66,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",446.0,0,
Car 82,,,,84,,arrived,,arrived,448.0,,
Car 8,112.0,11,4,,,done,,done charging,448.0,,138.34156660640699
Car 82,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",449.0,4,
Car 10,86.0,12,3,,,done,,done charging,450.9419565283102,,306.4635225541488
Car 39,65.0,8,2,,,done,,done charging,451.19965637585574,,528.3079438792777
Car 66,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",452.48413509728204,4,
Car 82,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),453.79050609035977,,
Car 66,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",456.63558553523245,1,
Car 66,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),462.0446239789971,,
Car 59,,,,69,,arrived,,arrived,467.0,,
