car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 470,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 2 (fid=17)",230.0,2,,
Car 456,,,,73,,arrived,arrived,232.0,,,
Car 343,,,,,13,switch,"Charger 13 (fid=31) not available, trying Charger 7 (fid=34)",232.0,7,,
Car 456,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),232.0,,0.0,
Car 343,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),232.19426464280184,,5.0,
Car 251,116.0,19,3,,,done,done charging,233.0,,,47.45420779023396
Car 398,45.0,51,9,,,done,done charging,233.0,,,53.28859211873921
Car 293,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),233.0,,4.0,
Car 408,98.0,19,3,,,done,done charging,234.0,,,47.45420779023396
Car 470,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",238.15622591677678,0,,
Car 470,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),240.32527010090277,,10.0,
Car 45,,,,55,,arrived,arrived,242.0,,,
Car 120,,,,34,,arrived,arrived,242.0,,,
Car 120,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),242.0,,0.0,
Car 103,60.0,17,2,,,done,done charging,242.36280346164457,,,242.86211358091026
Car 385,,,,40,,arrived,arrived,244.0,,,
Car 406,70.0,17,2,,,done,done charging,244.36280346164457,,,196.36375038428906
Car 177,,,,40,,arrived,arrived,245.0,,,
Car 420,,,,58,,arrived,arrived,246.0,,,
Car 420,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),246.0,,0.0,
Car 38,,,,30,,arrived,arrived,247.0,,,
Car 45,,,,,13,switch,"Charger 13 (fid=31) not available, trying Charger 3 (fid=19)",247.0,3,,
Car 45,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),247.58109360769265,,5.0,
Car 119,,,,39,,arrived,arrived,249.0,,,
Car 385,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 0 (fid=1)",249.0,0,,
Car 177,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 0 (fid=1)",250.0,0,,
Car 385,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),250.84494513589746,,5.0,
Car 177,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),251.84494513589746,,5.0,
Car 38,,,,,13,switch,"Charger 13 (fid=31) not available, trying Charger 7 (fid=34)",252.0,7,,
Car 38,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),252.19426464280184,,5.0,
Car 15,95.0,31,13,,,done,done charging,254.0,,,25.729758724072465
Car 119,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 0 (fid=1)",254.0,0,,
Car 421,,,,54,,arrived,arrived,255.0,,,
Car 421,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),255.0,,0.0,
Car 464,113.0,17,2,,,done,done charging,255.36280346164457,,,242.86211358091026
Car 119,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),255.84494513589746,,5.0,
Car 11,,,,78,,arrived,arrived,256.0,,,
Car 213,98.0,51,9,,,done,done charging,257.0,,,128.4087684895338
Car 224,,,,58,,arrived,arrived,259.0,,,
Car 224,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),259.0,,0.0,
Car 11,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",261.0,2,,
Car 489,,,,52,,arrived,arrived,262.0,,,
Car 100,115.0,1,0,,,done,done charging,263.0,,,0.0
Car 11,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),263.36280346164455,,5.0,
Car 488,111.0,7,1,,,done,done charging,264.0,,,161.65677533899992
Car 489,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),264.0,,2.0,
Car 128,,,,4,,arrived,arrived,265.0,,,
Car 5,,,,4,,arrived,arrived,266.0,,,
Car 5,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),266.0,,0.0,
Car 14,,,,61,,arrived,arrived,270.0,,,
Car 357,93.0,7,1,,,done,done charging,270.0,,,159.36175513590513
