car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 57,,,,57,,arrived,arrived,227.0,,
Car 295,,,,30,,arrived,arrived,227.0,,
Car 295,,33,1,,,start_charge,starting to charge at Charger 1 (fid=33),227.0,,
Car 57,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 25 (fid=70)",228.0,25,
Car 23,,,,,21,switch,"Charger 21 (fid=82) not available, trying Charger 3 (fid=12)",228.49807561803235,3,
Car 98,,,,17,,arrived,arrived,229.0,,
Car 98,,35,28,,,start_charge,starting to charge at Charger 28 (fid=35),229.0,,
Car 57,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 20 (fid=56)",230.09801468461805,20,
Car 72,102.0,23,29,,,done,done charging,231.1583504299498,,191.7379796634963
Car 195,104.0,88,18,,,done,done charging,231.82573499518918,,406.03321667457857
Car 57,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 28 (fid=35)",232.5569266170978,28,
Car 23,,,,,3,switch,"Charger 3 (fid=12) not available, trying Charger 16 (fid=5)",233.29702967685938,16,
Car 30,,,,34,,arrived,arrived,235.0,,
Car 57,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",235.66522669061158,12,
Car 30,,,,,1,switch,"Charger 1 (fid=33) not available, trying Charger 6 (fid=31)",236.0,6,
Car 94,98.0,86,10,,,done,done charging,236.3476110604253,,86.47972260189343
Car 57,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 14 (fid=28)",236.96413103506703,14,
Car 77,,,,63,,arrived,arrived,237.0,,
Car 179,,,,38,,arrived,arrived,238.0,,
Car 77,,,,,27,switch,"Charger 27 (fid=65) not available, trying Charger 2 (fid=8)",238.0,2,
Car 30,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 15 (fid=26)",238.52446073888333,15,
Car 57,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 19 (fid=21)",238.69499425593114,19,
Car 23,,5,16,,,start_charge,starting to charge at Charger 16 (fid=5),238.90163099514314,,
Car 179,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 27 (fid=65)",239.0,27,
Car 30,,26,15,,,start_charge,starting to charge at Charger 15 (fid=26),239.81476565163618,,
Car 77,,,,,2,switch,"Charger 2 (fid=8) not available, trying Charger 13 (fid=78)",240.53448962911727,13,
Car 136,83.0,28,14,,,done,done charging,241.65837531809632,,53.60381986227958
Car 188,,,,31,,arrived,arrived,242.0,,
Car 57,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",242.2166821095219,0,
Car 188,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 9 (fid=28)",243.0,9,
Car 57,,115,0,,,start_charge,starting to charge at Charger 0 (fid=115),243.05898942688205,,
Car 179,,,,,27,switch,"Charger 27 (fid=65) not available, trying Charger 29 (fid=23)",243.75423274777106,29,
Car 77,,,,,13,switch,"Charger 13 (fid=78) not available, trying Charger 24 (fid=48)",243.80113215701286,24,
Car 188,,28,9,,,start_charge,starting to charge at Charger 9 (fid=28),244.03401591731227,,
Car 179,,23,29,,,start_charge,starting to charge at Charger 29 (fid=23),247.28244552184253,,
Car 147,90.0,48,24,,,done,done charging,248.0,,188.63380951559975
Car 77,,48,24,,,start_charge,starting to charge at Charger 24 (fid=48),248.74230360880634,,
Car 80,,,,14,,arrived,arrived,249.0,,
Car 80,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",250.0,12,
Car 80,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 25 (fid=70)",251.29890434445545,25,
Car 80,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 26 (fid=57)",253.66557289814443,26,
Car 52,101.0,33,12,,,done,done charging,254.38923853896043,,55.61811574307244
Car 80,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 14 (fid=28)",255.76358758276248,14,
Car 80,,28,14,,,start_charge,starting to charge at Charger 14 (fid=28),257.56514871504226,,
Car 298,96.0,56,20,,,done,done charging,259.0,,44.63517725683041
Car 243,,,,76,,arrived,arrived,262.0,,
Car 49,66.0,51,22,,,done,done charging,262.0,,54.704323229856534
Car 243,,88,18,,,start_charge,starting to charge at Charger 18 (fid=88),262.0,,
Car 95,,,,116,,arrived,arrived,263.0,,
Car 95,,,,,7,switch,"Charger 7 (fid=22) not available, trying Charger 28 (fid=35)",264.0,28,
Car 95,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",266.6641920650345,14,
Car 95,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",268.32256738313083,12,
Car 202,,,,60,,arrived,arrived,269.0,,
Car 202,,11,4,,,start_charge,starting to charge at Charger 4 (fid=11),269.0,,
Car 95,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),269.0534306039949,,
Car 250,,,,24,,arrived,arrived,270.0,,
Car 178,,,,37,,arrived,arrived,271.0,,
Car 250,,,,,7,switch,"Charger 7 (fid=22) not available, trying Charger 28 (fid=35)",271.0,28,
Car 178,,,,,27,switch,"Charger 27 (fid=65) not available, trying Charger 4 (fid=11)",272.0,4,
Car 250,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",273.6641920650345,14,
Car 250,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",275.32256738313083,12,
Car 178,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 26 (fid=57)",276.80520943167147,26,
Car 116,72.0,47,5,,,done,done charging,277.0,,42.087750579019115
Car 250,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 19 (fid=21)",277.0534306039949,19,
Car 297,69.0,12,3,,,done,done charging,279.0,,147.4898430203793
Car 178,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 2 (fid=8)",280.04455512941956,2,
Car 250,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",280.2156474839448,0,
Car 250,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 25 (fid=70)",282.05795480130496,25,
