car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 163,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",156.2982067297708,3,
Car 8,,91,5,,,start_charge,,starting to charge at Charger 5 (fid=91),156.47150358346624,,
Car 91,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 3 (fid=17)",157.1643961334532,3,
Car 163,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",158.7815896502566,6,
Car 91,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",160.3458508907511,0,
Car 94,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",160.5582833062369,2,
Car 94,,49,2,,,start_charge,,starting to charge at Charger 2 (fid=49),161.28797634007236,,
Car 163,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 4 (fid=25)",161.9630444075545,4,
Car 91,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",162.8292338112369,4,
Car 125,,,,5,,arrived,,arrived,163.0,,
Car 125,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",164.0,2,
Car 91,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",165.60737055739034,5,
Car 125,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 7 (fid=11)",165.72969303383547,7,
Car 163,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 1 (fid=48)",166.1872795094873,1,
Car 258,,,,27,,arrived,,arrived,168.0,,
Car 258,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 3 (fid=17)",169.0,3,
Car 90,,,,21,,arrived,,arrived,171.0,,
Car 258,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",171.67120587005132,0,
Car 125,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",171.80426895668865,0,
Car 90,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 3 (fid=17)",172.0,3,
Car 163,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",172.33827750352708,2,
Car 91,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",172.6639173677196,1,
Car 36,,,,73,,arrived,,arrived,174.0,,
Car 163,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 5 (fid=91)",174.06797053736256,5,
Car 258,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 6 (fid=6)",174.1545887905371,6,
Car 90,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",174.67120587005132,0,
Car 36,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",175.0,0,
Car 125,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",175.10247568645946,3,
Car 237,,,,90,,arrived,,arrived,177.0,,
Car 90,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 6 (fid=6)",177.1545887905371,6,
Car 125,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",177.58585860694524,6,
Car 101,51.0,30,0,,,done,,done charging,177.62914856604365,,283.24781414398876
Car 36,,30,0,,,start_charge,,starting to charge at Charger 0 (fid=30),177.62914856604365,,
Car 237,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 3 (fid=17)",178.0,3,
Car 258,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 7 (fid=11)",178.19100094290437,7,
Car 125,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 4 (fid=25)",180.76731336424314,4,
Car 90,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 5 (fid=91)",181.19100094290437,5,
Car 258,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 1 (fid=48)",181.35539707635758,1,
Car 4,,,,55,,arrived,,arrived,183.0,,
Car 91,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",183.526515664966,2,
Car 4,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 7 (fid=11)",184.0,7,
Car 237,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",184.01376646569435,6,
Car 125,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",184.99154846617594,5,
Car 91,,,,,,gave_up,2,"no alternate charger available, gave up",185.2562086988015,,
Car 163,,,,,,gave_up,5,"no alternate charger available, gave up",185.28221364487314,,
Car 258,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",187.07832818894659,2,
Car 237,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 0 (fid=30)",187.19522122299225,0,
