car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 100,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",782.5816946874774,0,
Car 100,,,,,0,switch,"Charger 0 (fid=31) not available, trying Charger 13 (fid=34)",783.8827149912431,13,
Car 100,,,,,13,switch,"Charger 13 (fid=34) not available, trying Charger 16 (fid=25)",785.5092543719248,16,
Car 100,,25,16,,,start_charge,starting to charge at Charger 16 (fid=25),786.9364224755674,,
Car 34,,,,72,,arrived,arrived,790.0,,
Car 94,,,,72,,arrived,arrived,790.0,,
Car 34,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",791.0,2,
Car 94,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",791.0,2,
Car 34,,,,,2,switch,"Charger 2 (fid=70) not available, trying Charger 15 (fid=30)",792.5951855518377,15,
Car 94,,,,,2,switch,"Charger 2 (fid=70) not available, trying Charger 15 (fid=30)",792.5951855518377,15,
Car 34,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",794.5816946874774,0,
Car 94,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",794.5816946874774,0,
Car 34,,,,,0,switch,"Charger 0 (fid=31) not available, trying Charger 13 (fid=34)",795.8827149912431,13,
Car 94,,,,,0,switch,"Charger 0 (fid=31) not available, trying Charger 13 (fid=34)",795.8827149912431,13,
Car 114,,,,5,,arrived,arrived,796.0,,
Car 114,,,,,11,switch,"Charger 11 (fid=2) not available, trying Charger 1 (fid=76)",797.0,1,
Car 34,,,,,13,switch,"Charger 13 (fid=34) not available, trying Charger 16 (fid=25)",797.5092543719248,16,
Car 94,,,,,13,switch,"Charger 13 (fid=34) not available, trying Charger 16 (fid=25)",797.5092543719248,16,
Car 2,,,,83,,arrived,arrived,798.0,,
Car 2,,117,19,,,start_charge,starting to charge at Charger 19 (fid=117),798.0,,
