car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 608,,,,66,,arrived,arrived,200.0,,,
Car 189,78.0,32,5,,,done,done charging,201.0,,,5.161525840301837
Car 513,,,,45,,arrived,arrived,202.0,,,
Car 446,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 0 (fid=1)",204.0,0,,
Car 39,,,,39,,arrived,arrived,205.0,,,
Car 620,,,,37,,arrived,arrived,205.0,,,
Car 69,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 8 (fid=55)",205.0,8,,
Car 608,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 12 (fid=50)",205.0,12,,
Car 39,,50,12,,,start_charge,starting to charge at Charger 12 (fid=50),205.0,,0.0,
Car 620,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),205.0,,0.0,
Car 420,,,,124,,arrived,arrived,206.0,,,
Car 420,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),206.0,,0.0,
Car 289,57.0,17,2,,,done,done charging,206.1367030459296,,,259.0158400272002
Car 446,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),206.3503245240438,,5.0,
Car 608,,50,12,,,start_charge,starting to charge at Charger 12 (fid=50),206.68545194289555,,5.0,
Car 31,,,,77,,arrived,arrived,207.0,,,
Car 459,,,,37,,arrived,arrived,207.0,,,
Car 639,,,,3,,arrived,arrived,207.0,,,
Car 513,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 12 (fid=50)",207.0,12,,
Car 459,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),207.0,,0.0,
Car 69,,55,8,,,start_charge,starting to charge at Charger 8 (fid=55),207.3876584038176,,5.0,
Car 34,89.0,32,5,,,done,done charging,208.0,,,36.186427911583486
Car 499,,,,74,,arrived,arrived,210.0,,,
Car 728,82.0,55,8,,,done,done charging,210.0,,,187.84105324713798
Car 499,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),210.0,,0.0,
Car 146,,,,47,,arrived,arrived,211.0,,,
Car 146,,42,6,,,start_charge,starting to charge at Charger 6 (fid=42),211.0,,0.0,
Car 175,,,,34,,arrived,arrived,212.0,,,
Car 0,70.0,42,6,,,done,done charging,212.0,,,179.58121787372176
Car 31,,,,,12,switch,"Charger 12 (fid=50) not available, trying Charger 11 (fid=45)",212.0,11,,
Car 639,,,,,0,switch,"Charger 0 (fid=1) not available, trying Charger 9 (fid=116)",212.0,9,,
Car 175,,32,5,,,start_charge,starting to charge at Charger 5 (fid=32),212.0,,0.0,
Car 485,56.0,116,9,,,done,done charging,212.64334657807294,,,168.6642982524938
Car 29,68.0,55,8,,,done,done charging,213.3876584038176,,,232.48276618494617
Car 513,,,,,12,switch,"Charger 12 (fid=50) not available, trying Charger 2 (fid=17)",213.68545194289555,2,,
Car 639,,116,9,,,start_charge,starting to charge at Charger 9 (fid=116),214.02478149162658,,5.0,
Car 584,67.0,70,10,,,done,done charging,214.39225755109064,,,243.7202579721442
Car 336,,,,66,,arrived,arrived,215.0,,,
Car 513,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),216.68298583270015,,10.0,
Car 31,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 0 (fid=1)",218.68545194289555,0,,
Car 336,,,,,11,switch,"Charger 11 (fid=45) not available, trying Charger 12 (fid=50)",220.0,12,,
Car 381,90.0,50,12,,,done,done charging,220.68545194289555,,,218.7485132521169
Car 575,,,,73,,arrived,arrived,221.0,,,
Car 336,,50,12,,,start_charge,starting to charge at Charger 12 (fid=50),221.68545194289555,,5.0,
Car 754,,,,88,,arrived,arrived,223.0,,,
Car 52,119.0,45,11,,,done,done charging,223.0,,,20.05435852878955
Car 754,,87,7,,,start_charge,starting to charge at Charger 7 (fid=87),223.0,,0.0,
