car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 94,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 12 (fid=65)",939.0,12,
Car 6,82.0,54,17,,,done,done charging,940.0,,118.94727513613948
Car 36,62.0,13,8,,,done,done charging,943.0,,69.12834146429454
Car 94,,,,,12,switch,"Charger 12 (fid=65) not available, trying Charger 11 (fid=8)",943.6798694107324,11,
Car 94,,8,11,,,start_charge,starting to charge at Charger 11 (fid=8),945.2143590398497,,
Car 81,,,,45,,arrived,arrived,948.0,,
Car 81,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),948.0,,
Car 89,62.0,20,1,,,done,done charging,958.3170480488759,,381.0731457404991
Car 71,,,,30,,arrived,arrived,967.0,,
Car 71,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",968.0,17,
Car 71,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),970.2981393821472,,
Car 95,111.0,65,12,,,done,done charging,972.0,,148.98279131023793
Car 79,,,,25,,arrived,arrived,979.0,,
Car 79,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),979.0,,
Car 76,,,,28,,arrived,arrived,981.0,,
Car 49,71.0,69,7,,,done,done charging,981.3329430367411,,135.20058229635168
Car 76,,,,,9,switch,"Charger 9 (fid=47) not available, trying Charger 6 (fid=30)",982.0,6,
Car 57,,,,54,,arrived,arrived,983.0,,
Car 57,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 16 (fid=56)",984.0,16,
Car 76,,,,,6,switch,"Charger 6 (fid=30) not available, trying Charger 0 (fid=42)",984.9983033551762,0,
Car 57,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),985.640484445438,,
Car 45,51.0,47,9,,,done,done charging,986.0,,93.12920407538058
Car 76,,42,0,,,start_charge,starting to charge at Charger 0 (fid=42),986.610088404015,,
Car 72,89.0,75,10,,,done,done charging,1004.0,,285.83423461267586
Car 11,,,,75,,arrived,arrived,1016.0,,
Car 11,,75,10,,,start_charge,starting to charge at Charger 10 (fid=75),1016.0,,
Car 76,45.0,42,0,,,done,done charging,1031.610088404015,,172.13081388415907
Car 94,90.0,8,11,,,done,done charging,1035.2143590398496,,237.46549237048123
Car 81,95.0,28,13,,,done,done charging,1043.0,,237.28032539394746
Car 97,,,,3,,arrived,arrived,1045.0,,
Car 97,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),1045.0,,
Car 18,,,,47,,arrived,arrived,1048.0,,
Car 18,,47,9,,,start_charge,starting to charge at Charger 9 (fid=47),1048.0,,
Car 79,70.0,30,6,,,done,done charging,1049.0,,140.18943229396962
Car 71,80.0,54,17,,,done,done charging,1050.2981393821472,,129.823798905058
Car 60,,,,3,,arrived,arrived,1057.0,,
Car 60,,,,,15,switch,"Charger 15 (fid=12) not available, trying Charger 13 (fid=28)",1058.0,13,
Car 64,,,,41,,arrived,arrived,1061.0,,
Car 60,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),1061.8559066030543,,
Car 64,,,,,9,switch,"Charger 9 (fid=47) not available, trying Charger 6 (fid=30)",1062.0,6,
Car 64,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),1063.9983033551762,,
Car 88,,,,84,,arrived,arrived,1078.0,,
Car 88,,84,3,,,start_charge,starting to charge at Charger 3 (fid=84),1078.0,,
Car 101,,,,62,,arrived,arrived,1086.0,,
Car 101,,51,2,,,start_charge,starting to charge at Charger 2 (fid=51),1086.0,,
Car 11,71.0,75,10,,,done,done charging,1087.0,,87.93496633917952
Car 57,104.0,56,16,,,done,done charging,1089.640484445438,,136.65235430498151
Car 18,60.0,47,9,,,done,done charging,1108.0,,38.65072765977687
Car 66,,,,88,,arrived,arrived,1109.0,,
Car 66,,,,,3,switch,"Charger 3 (fid=84) not available, trying Charger 4 (fid=7)",1110.0,4,
Car 66,,7,4,,,start_charge,starting to charge at Charger 4 (fid=7),1113.0985021641397,,
Car 86,,,,61,,arrived,arrived,1123.0,,
Car 86,,,,,2,switch,"Charger 2 (fid=51) not available, trying Charger 10 (fid=75)",1124.0,10,
Car 35,,,,32,,arrived,arrived,1125.0,,
Car 35,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",1126.0,17,
Car 86,,75,10,,,start_charge,starting to charge at Charger 10 (fid=75),1126.6662617575748,,
Car 60,65.0,28,13,,,done,done charging,1126.8559066030543,,299.9267721579898
Car 35,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),1128.2981393821472,,
Car 88,58.0,84,3,,,done,done charging,1136.0,,139.8903618258362
Car 100,,,,7,,arrived,arrived,1139.0,,
Car 5,,,,21,,arrived,arrived,1140.0,,
Car 100,,,,,4,switch,"Charger 4 (fid=7) not available, trying Charger 2 (fid=51)",1140.0,2,
Car 5,,,,,15,switch,"Charger 15 (fid=12) not available, trying Charger 13 (fid=28)",1141.0,13,
Car 64,78.0,30,6,,,done,done charging,1141.9983033551762,,127.37973368581876
Car 21,,,,64,,arrived,arrived,1142.0,,
Car 21,,5,14,,,start_charge,starting to charge at Charger 14 (fid=5),1142.0,,
Car 100,,,,,2,switch,"Charger 2 (fid=51) not available, trying Charger 3 (fid=84)",1143.7113525299897,3,
Car 5,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),1144.8559066030543,,
Car 100,,84,3,,,start_charge,starting to charge at Charger 3 (fid=84),1148.5142837216695,,
Car 10,,,,7,,arrived,arrived,1155.0,,
Car 10,,,,,4,switch,"Charger 4 (fid=7) not available, trying Charger 2 (fid=51)",1156.0,2,
Car 97,112.0,12,15,,,done,done charging,1157.0,,215.8672026793759
Car 10,,,,,2,switch,"Charger 2 (fid=51) not available, trying Charger 3 (fid=84)",1159.7113525299897,3,
Car 51,,,,17,,arrived,arrived,1160.0,,
Car 51,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 1 (fid=20)",1161.0,1,
Car 51,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),1163.4611414458216,,
Car 10,,,,,3,switch,"Charger 3 (fid=84) not available, trying Charger 15 (fid=12)",1165.5142837216695,15,
Car 7,,,,35,,arrived,arrived,1169.0,,
Car 10,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),1169.3133154749946,,
Car 7,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",1170.0,17,
Car 7,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 1 (fid=20)",1173.2981393821472,1,
Car 15,,,,34,,arrived,arrived,1176.0,,
Car 7,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",1176.6277342351243,7,
Car 15,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",1177.0,17,
Car 7,,69,7,,,start_charge,starting to charge at Charger 7 (fid=69),1177.3329430367412,,
